model,metric,estimate,ci_low,ci_high
deepseek-r1,soft_recall,0.6206896551724138,0.5,0.7413793103448276
deepseek-r1,hard_recall,0.10344827586206896,0.034482758620689655,0.1896551724137931
deepseek-r1,soft_precision,0.6,0.5,0.7111217948717948
deepseek-r1,soft_fdr,0.4,0.2888782051282051,0.5
deepseek-r1,soft_direction_accuracy,0.7777777777777778,0.631578947368421,0.9024390243902439
deepseek-r1,hard_direction_accuracy,0.6666666666666666,0.2,1.0
deepseek-r1,sid_rate,0.13991769547325103,0.09876543209876543,0.18518518518518517
deepseek-r1,snr,2.1408706737732324,1.4160168501753987,2.824874493051137
deepseek-r1,detection_power,0.1728395061728395,0.03642987249544627,0.30059198542805077
kimi-k2.5,soft_recall,0.7413793103448276,0.6206896551724138,0.8448275862068966
kimi-k2.5,hard_recall,0.06896551724137931,0.017241379310344827,0.13793103448275862
kimi-k2.5,soft_precision,0.6615384615384615,0.5693975225225225,0.7627118644067796
kimi-k2.5,soft_fdr,0.3384615384615385,0.23728813559322035,0.43060247747747726
kimi-k2.5,soft_direction_accuracy,0.6744186046511628,0.5305413832199547,0.8
kimi-k2.5,hard_direction_accuracy,0.5,0.0,1.0
kimi-k2.5,sid_rate,0.16666666666666666,0.12195121951219512,0.21138211382113822
kimi-k2.5,snr,2.45643773212848,1.8071959801805348,3.170075076831754
kimi-k2.5,detection_power,0.2073170731707317,0.12495888157894737,0.2911184210526316
qwen3-next-80b-instruct,soft_recall,0.39655172413793105,0.27586206896551724,0.5344827586206896
qwen3-next-80b-instruct,hard_recall,0.017241379310344827,0.0,0.05172413793103448
qwen3-next-80b-instruct,soft_precision,0.5348837209302325,0.40625,0.6750168918918918
qwen3-next-80b-instruct,soft_fdr,0.46511627906976744,0.3249831081081081,0.59375
qwen3-next-80b-instruct,soft_direction_accuracy,0.7391304347826086,0.55,0.9130434782608695
qwen3-next-80b-instruct,hard_direction_accuracy,0.0,0.0,0.0
qwen3-next-80b-instruct,sid_rate,0.1350210970464135,0.09282700421940929,0.18143459915611815
qwen3-next-80b-instruct,snr,1.8720564546673022,1.4877885144371032,2.9351348427275012
qwen3-next-80b-instruct,detection_power,0.15611814345991562,0.10620915032679738,0.20751633986928106
mistral-small-24b,soft_recall,0.43103448275862066,0.3103448275862069,0.5517241379310345
mistral-small-24b,hard_recall,0.017241379310344827,0.0,0.05172413793103448
mistral-small-24b,soft_precision,0.625,0.49090051457975986,0.7575757575757576
mistral-small-24b,soft_fdr,0.375,0.24242424242424243,0.5090994854202401
mistral-small-24b,soft_direction_accuracy,0.72,0.5357142857142857,0.8889880952380946
mistral-small-24b,hard_direction_accuracy,0.0,0.0,0.0
mistral-small-24b,sid_rate,0.13135593220338984,0.08898305084745763,0.17372881355932204
mistral-small-24b,snr,1.6619754525347188,1.3238016658136744,2.51238165560028
mistral-small-24b,detection_power,0.13135593220338984,0.07969639468690702,0.2827324478178368
gemma-4-31b-it,soft_recall,0.41379310344827586,0.29310344827586204,0.5344827586206896
gemma-4-31b-it,hard_recall,0.06896551724137931,0.017241379310344827,0.13793103448275862
gemma-4-31b-it,soft_precision,0.6666666666666666,0.5312040441176471,0.8148391812865495
gemma-4-31b-it,soft_fdr,0.3333333333333333,0.18516081871345028,0.4687959558823527
gemma-4-31b-it,soft_direction_accuracy,0.7083333333333334,0.5217391304347826,0.8800588235294114
gemma-4-31b-it,hard_direction_accuracy,0.25,0.0,1.0
gemma-4-31b-it,sid_rate,0.1623931623931624,0.11538461538461539,0.2094017094017094
gemma-4-31b-it,snr,1.7962213342215099,1.2034795241435947,2.879912249153058
gemma-4-31b-it,detection_power,0.11965811965811966,0.02109704641350211,0.29324894514767935
llama-3.1-8b,soft_recall,0.1724137931034483,0.08620689655172414,0.27586206896551724
llama-3.1-8b,hard_recall,0.0,0.0,0.0
llama-3.1-8b,soft_precision,0.7142857142857143,0.46653846153846157,0.9285714285714286
llama-3.1-8b,soft_fdr,0.2857142857142857,0.07142857142857142,0.5334615384615378
llama-3.1-8b,soft_direction_accuracy,0.5,0.16666666666666666,0.8
llama-3.1-8b,hard_direction_accuracy,0.0,0.0,0.0
llama-3.1-8b,sid_rate,0.19313304721030042,0.1459227467811159,0.24892703862660945
llama-3.1-8b,snr,0.8001029095532727,0.7159553326069604,1.7036974342918523
llama-3.1-8b,detection_power,0.02575107296137339,0.0,0.2585034013605442
