model,metric,estimate,ci_low,ci_high
deepseek-r1,soft_recall,0.6206896551724138,0.5,0.7413793103448276
deepseek-r1,hard_recall,0.10344827586206896,0.034482758620689655,0.1896551724137931
deepseek-r1,soft_precision,0.6,0.5,0.7058823529411765
deepseek-r1,soft_fdr,0.4,0.29411764705882354,0.5
deepseek-r1,soft_direction_accuracy,0.7777777777777778,0.631578947368421,0.9024390243902439
deepseek-r1,hard_direction_accuracy,0.6666666666666666,0.2,1.0
deepseek-r1,sid_rate,0.13991769547325103,0.09876543209876543,0.18518518518518517
deepseek-r1,snr,2.140870673773232,1.414507078219888,2.8042206002440997
deepseek-r1,detection_power,0.1728395061728395,0.03460837887067395,0.29326047358834245
kimi-k2.5,soft_recall,0.7413793103448276,0.6206896551724138,0.8448275862068966
kimi-k2.5,hard_recall,0.06896551724137931,0.017241379310344827,0.13793103448275862
kimi-k2.5,soft_precision,0.6615384615384615,0.5616438356164384,0.7627118644067796
kimi-k2.5,soft_fdr,0.3384615384615385,0.23728813559322035,0.4383561643835616
kimi-k2.5,soft_direction_accuracy,0.6744186046511628,0.5305413832199547,0.8
kimi-k2.5,hard_direction_accuracy,0.5,0.0,1.0
kimi-k2.5,sid_rate,0.16666666666666666,0.12195121951219512,0.21544715447154472
kimi-k2.5,snr,2.45643773212848,1.7962660835852458,3.227671932998362
kimi-k2.5,detection_power,0.2073170731707317,0.12664473684210525,0.2993421052631579
qwen3-next-80b-instruct,soft_recall,0.39655172413793105,0.27586206896551724,0.5344827586206896
qwen3-next-80b-instruct,hard_recall,0.017241379310344827,0.0,0.05172413793103448
qwen3-next-80b-instruct,soft_precision,0.5348837209302325,0.4,0.6764705882352942
qwen3-next-80b-instruct,soft_fdr,0.46511627906976744,0.3235294117647059,0.6
qwen3-next-80b-instruct,soft_direction_accuracy,0.7391304347826086,0.55,0.9130434782608695
qwen3-next-80b-instruct,hard_direction_accuracy,0.0,0.0,0.0
qwen3-next-80b-instruct,sid_rate,0.1350210970464135,0.09282700421940929,0.18143459915611815
qwen3-next-80b-instruct,snr,1.8720564546673024,1.4720845595439451,2.887089348599336
qwen3-next-80b-instruct,detection_power,0.15611814345991562,0.10457516339869281,0.20261437908496732
mistral-small-24b,soft_recall,0.43103448275862066,0.3103448275862069,0.5517241379310345
mistral-small-24b,hard_recall,0.017241379310344827,0.0,0.05172413793103448
mistral-small-24b,soft_precision,0.625,0.5,0.7567772317772317
mistral-small-24b,soft_fdr,0.375,0.24322276822276823,0.5
mistral-small-24b,soft_direction_accuracy,0.72,0.5357142857142857,0.8889880952380946
mistral-small-24b,hard_direction_accuracy,0.0,0.0,0.0
mistral-small-24b,sid_rate,0.13135593220338984,0.08898305084745763,0.17372881355932204
mistral-small-24b,snr,1.6619754525347186,1.3557840124095704,2.4371429506375994
mistral-small-24b,detection_power,0.13135593220338984,0.08538899430740038,0.2732447817836812
llama-3.1-8b,soft_recall,0.1724137931034483,0.08620689655172414,0.27586206896551724
llama-3.1-8b,hard_recall,0.0,0.0,0.0
llama-3.1-8b,soft_precision,0.7142857142857143,0.46153846153846156,0.9333333333333333
llama-3.1-8b,soft_fdr,0.2857142857142857,0.06666666666666667,0.5384615384615384
llama-3.1-8b,soft_direction_accuracy,0.5,0.16666666666666666,0.8333333333333334
llama-3.1-8b,hard_direction_accuracy,0.0,0.0,0.0
llama-3.1-8b,sid_rate,0.19313304721030042,0.14163090128755365,0.2446351931330472
llama-3.1-8b,snr,0.8001029095532727,0.7135388457036671,1.7370317533464648
llama-3.1-8b,detection_power,0.02575107296137339,0.0,0.2562358276643991
